time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-29T18:35:45.516Z,38.4553,-118.1439,9.2,0.6,ml,5,261.39,0.024,,nn,nn00628171,2018-03-29T22:34:04.027Z,"42km E of Hawthorne, Nevada",earthquake,,,,,reviewed,nn,nn
2018-03-29T18:25:33.390Z,19.1905003,-155.3399963,29.82,1.99,md,39,172,0.07169,0.15,hv,hv70065231,2018-03-29T18:28:40.140Z,"14km E of Pahala, Hawaii",earthquake,0.66,0.91,0.18,14,automatic,hv,hv
2018-03-29T18:18:22.760Z,39.6380005,-123.3978348,9.03,1.67,md,5,184,0.0211,0.02,nc,nc72991255,2018-03-29T20:52:03.445Z,"9km SE of Laytonville, CA",earthquake,0.94,0.73,0.04,5,automatic,nc,nc
2018-03-29T18:02:07.036Z,63.3395,-149.6745,95.4,1,ml,,,,0.49,ak,ak18821488,2018-03-29T18:17:05.899Z,"36km W of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-03-29T17:59:46.190Z,38.8131676,-122.814003,2.39,1.38,md,23,69,0.01066,0.04,nc,nc72991250,2018-03-29T20:26:04.308Z,"6km NW of The Geysers, CA",earthquake,0.28,0.37,0.08,6,automatic,nc,nc
2018-03-29T17:40:38.840Z,35.0488333,-118.3216667,-1.01,1.43,ml,18,54,0.06035,0.16,ci,ci37902255,2018-03-29T19:42:42.212Z,"13km W of Mojave, CA",quarry blast,0.26,31.61,0.11,21,reviewed,ci,ci
2018-03-29T17:39:17.039Z,61.6396,-148.148,29.9,1.1,ml,,,,0.66,ak,ak18821483,2018-03-29T17:42:59.397Z,"41km ESE of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-03-29T17:35:41.430Z,39.406,-110.3246667,-1.41,1.67,ml,6,193,0.01808,0.03,uu,uu60275607,2018-03-29T17:58:55.430Z,"17km SSE of East Carbon City, Utah",earthquake,1.23,0.4,0.128,3,reviewed,uu,uu
2018-03-29T17:20:48.910Z,11.648,125.5911,44.97,4.6,mb,,99,4.549,0.78,us,us1000dawa,2018-03-29T21:06:23.574Z,"14km ENE of Lalauigan, Philippines",earthquake,9.6,7.2,0.047,134,reviewed,us,us
2018-03-29T17:20:17.784Z,38.3547,-118.8912,8.1,1.1,ml,7,263.77,0.142,,nn,nn00628018,2018-03-29T18:11:37.511Z,"29km SW of Hawthorne, Nevada",earthquake,,,,,reviewed,nn,nn
2018-03-29T17:17:07.147Z,38.3559,-118.9063,7.4,1.3,ml,10,151.88,0.15,,nn,nn00628017,2018-03-29T18:08:31.286Z,"30km SW of Hawthorne, Nevada",earthquake,,,,,reviewed,nn,nn
